ticker,BuyOn,BuyPrice,Shares,SellOn,SellPrice,ProfitLoss
AAPL,2015-01-28,115.309998,86,2015-03-10,124.510002,771.2
AAPL,2015-04-15,126.779999,85,2015-05-08,127.620003,51.4
AAPL,2015-05-21,131.389999,82,2015-06-09,127.419998,-345.55
AAPL,2015-07-21,130.75,80,2015-07-31,121.300003,-776
AAPL,2015-09-11,114.209999,85,2015-10-01,109.580002,-413.55
AAPL,2015-10-21,113.760002,82,2015-11-16,114.18,14.43
AAPL,2015-12-01,117.339996,80,2015-12-11,113.18,-352.8
GE,2015-01-30,23.889999,418,2015-03-16,25.450001,632.08
GE,2015-04-10,28.51,373,2015-05-04,27.27,-482.53
GE,2015-05-13,27.209999,374,2015-06-30,26.57,-259.36
GE,2015-07-22,26.629999,373,2015-07-30,26.120001,-210.23
GE,2015-09-15,25.299999,385,2015-12-08,30.190001,1862.65
HD,2015-01-09,104.889999,95,2015-04-02,114.540001,896.75
HD,2015-05-18,114.330002,95,2015-06-05,110.370003,-396.2
HD,2015-06-25,112.239998,93,2015-08-31,116.459999,372.46
JNJ,2015-03-02,103.220001,96,2015-03-13,99.209999,-404.97
JNJ,2015-03-26,100.139999,96,2015-04-07,100.099998,-23.85
JNJ,2015-05-18,103.419998,92,2015-06-03,100.089996,-326.37
JNJ,2015-06-26,99.639999,93,2015-07-08,97.769997,-193.92
JNJ,2015-07-17,100.080002,91,2015-08-04,99.800003,-45.48
JNJ,2015-09-23,92.989998,97,2015-09-30,93.349998,14.91
